CIN,Company_Name,Date_of_Incorporation,Authorized_Capital,Paidup_Capital,Company_Status,ROC_Code,Principal_Business_Activity_NIC,STATE
L11223DL2017PTC06,URBAN TECH LABS PRIVATE LIMITED,2017-11-05,2000000,1000000,Active,ROC-DELHI,6201,Delhi
U22334DL2018PLC07,DELHI INFRASTRUCTURE DEVELOPERS LTD,2018-02-10,10000000,7000000,Active,ROC-DELHI,6810,Delhi
L33445DL2019PTC08,NORTHCITY CONSULTING SERVICES,,1500000,800000,Active,ROC-DELHI,7020,Delhi
U44556DL2021PTC09,GREENHOME ELECTRICALS PRIVATE LIMITED,2021-07-07,2500000,1000000,Active,ROC-DELHI,2740,Delhi
L55667DL2022PLC10,METRO HEALTHCARE SOLUTIONS LTD,,5000000,3000000,Active,ROC-DELHI,8690,Delhi
CIN,Company Name,,0,0,Company Status,ROC Code,Principal Business Activity (NIC),Delhi
U13579DL2019PTC01,DELHI URBAN INFRA SOLUTIONS PRIVATE LIMITED,2019-05-11,8000000,4000000,Active,ROC-DEL,6820,Delhi
L24680DL2020PLC02,NEW DELHI GREEN ENERGY LTD,,12000000,9000000,Active,ROC-DEL,3510,Delhi
U35791DL2021PTC03,CAPITAL FINTECH SERVICES,,5000000,2500000,Active,ROC-DEL,6419,Delhi
L46802DL2022PLC04,METRO HOSPITALITY GROUP LTD,,7000000,5000000,Strike Off,ROC-DEL,5510,Delhi
U68024DL2024PTC06,NCR DIGITAL INFRASTRUCTURE PRIVATE LIMITED,2024-07-04,6000000,3000000,Active,ROC-DEL,6202,Delhi
L12345GJ2018PTC01,SURAT TEXTILE INNOVATIONS PVT LTD,2018-12-06,3000000,0,Active,ROC-AHMEDABAD,1313,Gujarat
U23456GJ2019PLC02,VADODARA CHEMICALS LTD,,8000000,4000000,Active,ROC-AHMEDABAD,2011,Gujarat
L34567GJ2020PTC03,AHMEDABAD SOLAR SYSTEMS PRIVATE LIMITED,,5000000,2500000,Active,ROC-AHMEDABAD,3510,Gujarat
U45678GJ2021PTC04,KUTCH CERAMIC WORKS,2021-08-08,2000000,1000000,Active,ROC-AHMEDABAD,2393,Gujarat
L56789GJ2023PLC05,RAJKOT AUTO PARTS LIMITED,2023-04-12,9000000,0,UNKNOWN,ROC-AHMEDABAD,2930,Gujarat
CIN,Company Name,,0,0,Company Status,ROC Code,Principal Business Activity (NIC),Gujarat
L67891GJ2024PLC06,BHARUCH INDUSTRIAL MACHINERY LTD,2024-10-03,9500000,5000000,Active,ROC-AHMEDABAD,2829,Gujarat
L21213KA2017PTC16,BANGALORE AI SYSTEMS PRIVATE LIMITED,2017-12-05,3000000,1500000,Active,ROC-BANGALORE,6201,Karnataka
U32324KA2018PLC17,MYSORE AGRO MACHINERY LTD,,7000000,4000000,Active,ROC-BANGALORE,2825,Karnataka
L43435KA2020PTC18,HUBBALLI DIGITAL SERVICES,,2500000,1000000,Active,ROC-BANGALORE,6311,Karnataka
U54546KA2021PTC19,UDUPI SEAFOOD EXPORTS,2021-04-09,2000000,1000000,Active,ROC-MANGALORE,1020,Karnataka
L65657KA2023PLC20,BELGAUM GREEN ENERGY LTD,,800000,5000000,Active,ROC-BANGALORE,3510,Karnataka
CIN,Company Name,,0,0,Company Status,ROC Code,Principal Business Activity (NIC),Karnataka
L10101KA2018PTC01,BENGALURU SOFTWARE LABS PRIVATE LIMITED,2018-09-04,7000000,3500000,Active,ROC-BANGALORE,6201,Karnataka
U20202KA2019PLC02,MYSORE AUTO COMPONENTS LIMITED,,8000000,5000000,Active,ROC-BANGALORE,2930,Karnataka
L30303KA2020PTC03,HUBBALLI AGRO INDUSTRIES PRIVATE LIMITED,2020-04-02,4000000,2000000,Active,ROC-BANGALORE,0161,Karnataka
U40404KA2021PTC04,BELGAUM LOGISTICS SERVICES,,6000000,3000000,Active,ROC-BANGALORE,4923,Karnataka
L60606KA2024PLC06,DAVANGERE GREEN ENERGY LTD,2024-06-01,9500000,7000000,Active,ROC-BANGALORE,3510,Karnataka
L12345MH2020PTC01,TECHNO SOLUTIONS PVT LTD,2020-10-01,1000000,500000,Active,ROC-MUM,7210,Maharashtra
U98765MH2018PLC02,GLOBAL TRADING INDIA LTD,,5000000,3000000,Active,ROC-MUM,4663,Maharashtra
F00111MH2022PTC03,MUMBAI COFFEE ROASTERS,,500000,100000,Active,ROC-PUNE,5610,Maharashtra
L99999MH2023PTC04,PUNE REALTY VENTURES,2023-01-12,10000000,5000000,Active,ROC-PUNE,6810,Maharashtra
U44444MH2019PTC05,E-BIKE DELIVERY SERVICES,2019-05-02,250000,100000,Active,ROC-MUM,5320,Maharashtra
L01234MH2023PLC05,NASHIK FOOD PROCESSORS LIMITED,,6000000,3000000,Active,ROC-PUNE,1079,Maharashtra
CIN,Company Name,,0,0,Company Status,ROC Code,Principal Business Activity (NIC),Maharashtra
L67890MH2019PTC01,MUMBAI TECH SOLUTIONS PRIVATE LIMITED,,5000000,2500000,Active,ROC-MUM,6201,Maharashtra
U78901MH2020PLC02,NAGPUR AGRITECH INDUSTRIES LIMITED,,10000000,8000000,Active,ROC-MUM,0161,Maharashtra
